Member ID,First Name,Last Name,DOB,Address,City,State,Zip
100000000000,Marcus,Strong,1983-12-24,91126 Carol Village Suite 771,Sheltonfurt,GA,9499
100000000001,Lisa,Garcia,1984-06-24,7720 Jose Station,Kennethbury,TX,56919
100000000002,Gabriel,Lee,1954-06-01,83868 Lisa Ways,Lake Chelseatown,WY,7081
100000000003,Beverly,Ballard,2002-05-20,85401 Daniels Loaf Apt. 473,New Debraberg,OK,9301
100000000004,Thomas,Martin,1974-08-20,27113 Amy Row Suite 462,Janicestad,VA,78935
100000000006,Brian,Higgins,1958-04-28,52407 Morris Isle,North Lauraland,TN,91503
100000000007,Kenneth,Smith,1999-02-07,282 Yang Plaza Apt. 273,Donovanhaven,DE,50619
100000000008,Mallory,Jones,1972-09-25,966 Mccoy Street Apt. 521,Sheppardview,KY,83969
100000000010,Brian,Payne,1977-04-16,6560 Stein Mills Apt. 666,Lake Joton,PW,24178
100000000011,Heather,Nguyen,1975-10-05,85332 Fletcher Green,South Vincent,HI,28750
100000000012,Candace,Haley,1966-10-19,6970 Burgess Road,Port Elizabeth,LA,35060
100000000013,Michael,Smith,1969-05-15,443 Perez Crossroad,West Anthonystad,MN,560066
100000000005,Jessica,Rush,1998-10-23,50667 Taylor Shoal,Michelleburgh,TN,18539
100000000009,Katrina,Campbell,1991-07-12,1111 Lee Track Apt. 969,West Linda,MS,88448
